# 2021 08 24 06 24 40.80  27.627  56.472  20.8 0.00 0.00 0.00  0.3    100000
CHMN  47.000   1.0 P
MZN1  50.100   1.0 S
# 2021 11 15 01 41 27.90  27.552  55.988  11.1 0.00 0.00 0.00  0.5    100056
BNDS   4.900   1.0 P
BNB   10.200   1.0 P
BNB   17.300   1.0 S
MZN1  25.800   1.0 P
JASK  40.800   1.0 P
MZN1  43.200   1.0 S
CHMN  45.300   1.0 P
KBAM  45.700   1.0 P
# 2021 11 15 01 45 28.50  27.473  56.146  21.0 0.00 0.00 0.00  0.4    100057
BNDS   5.300   1.0 P
BNB    8.300   1.0 P
JASK  38.600   1.0 P
KBAM  44.200   1.0 P
CHMN  44.700   1.0 P
MZN1  49.500   1.0 S
# 2021 11 15 01 59 52.10  27.585  56.315  15.1 0.00 0.00 0.00  0.3    100058
BNDS   5.300   1.0 P
BNB    5.500   1.0 P
JASK  38.000   1.0 P
KBAM  41.600   1.0 P
CHMN  42.200   1.0 P
# 2021 11 15 02 02 27.10  27.576  56.139   7.0 0.00 0.00 0.00  0.4    100059
BNDS   5.000   1.0 P
BNB    7.900   1.0 P
MZN1  27.400   1.0 P
KBAM  44.600   1.0 P
CHMN  45.900   1.0 P
GHIR  50.720   1.0 P
KRBR  42.730   1.0 P
LMD1  50.200   0.0 P
JSSH  37.250   1.0 P
# 2021 11 15 02 18 04.80  27.633  56.174  21.4 0.00 0.00 0.00  0.3    100060
BNDS   6.100   1.0 P
BNB    7.700   1.0 P
MZN1  25.900   1.0 P
CHMN  41.300   1.0 P
KBAM  41.600   1.0 P
# 2021 11 15 02 45 22.80  27.525  56.042  10.0 0.00 0.00 0.00  0.4    100061
BNDS   3.500   1.0 P
BNB    9.600   1.0 P
JASK  40.400   1.0 P
KBAM  44.800   1.0 P
CHMN  45.200   1.0 P
MZN1  45.400   1.0 S
# 2021 11 15 02 53 43.50  27.635  56.168  11.9 0.00 0.00 0.00  0.3    100062
BNDS   5.300   1.0 P
BNB    7.600   1.0 P
MZN1  27.000   1.0 P
JASK  40.400   1.0 P
KBAM  43.200   1.0 P
CHMN  43.300   1.0 P
MZN1  47.800   1.0 S
GHIR  46.290   1.0 P
KRBR  37.550   0.0 P
LMD1  43.310   1.0 P
JSSH  34.480   1.0 P
# 2021 11 15 03 04 38.50  27.577  56.081  11.0 0.00 0.00 0.00  0.4    100063
BNDS   4.300   1.0 P
BNB    8.900   1.0 P
MZN1  25.800   1.0 P
CHMN  44.400   1.0 P
KBAM  44.500   1.0 P
MZN1  45.900   1.0 S
KSHB  47.300   1.0 P
# 2021 11 15 03 14 36.10  27.486  56.212  15.6 0.00 0.00 0.00  0.3    100064
BNDS   3.700   1.0 P
BNB    6.000   1.0 P
MZN1  28.100   1.0 P
JASK  37.400   1.0 P
UOSS  42.200   1.0 P
KBAM  42.900   1.0 P
CHMN  44.200   1.0 P
KSHB  47.900   1.0 P
# 2021 11 15 03 55 19.70  27.541  56.113  16.2 0.00 0.00 0.00  0.3    100065
BNDS   4.500   1.0 P
BNB    7.800   1.0 P
MZN1  26.000   1.0 P
UOSS  42.900   1.0 P
KBAM  43.500   1.0 P
CHMN  43.700   1.0 P
KHGB  47.100   1.0 P
# 2021 11 15 04 13 31.60  27.536  56.199  12.3 0.00 0.00 0.00  0.2    100066
BNDS   4.600   1.0 P
BNB    7.200   1.0 P
MZN1  28.600   1.0 P
JASK  39.800   1.0 P
KBAM  44.100   1.0 P
CHMN  44.900   1.0 P
KHGB  48.500   1.0 P
KSHB  48.800   1.0 P
# 2021 11 15 04 23 03.30  27.615  56.224  10.0 0.00 0.00 0.00  0.2    100067
BNB    7.400   1.0 P
MZN1  28.600   1.0 P
