     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  56.253  27.595     1.4     2.6      99      99    99.0     360   0.277     8.0     4.7  2021 11 18 04 30 33.74
  56.189  27.643    17.0     2.6      99      99    99.0     360   0.337     7.2     6.6  2021 11 18 04 57 11.71
  56.245  27.571     5.7     2.8      99      99    99.0     360   0.182     4.9     3.5  2021 11 18 05 46 26.66
  56.171  27.528    13.8     3.4      99      99    99.0     360   0.395     3.4     2.7  2021 11 18 12 02 51.53
  56.249  27.549     9.3     2.8      99      99    99.0     360   0.269     6.7     3.8  2021 11 18 13 07 07.17
  56.090  27.534    15.4     4.3      99      99    99.0     360   0.371     3.8     3.2  2021 11 18 16 10 42.21
  56.186  27.578     1.2     2.7      99      99    99.0     360   0.667     8.6     7.4  2021 11 18 18 55 41.64
  56.046  27.426    15.4     2.7      99      99    99.0     360   0.231     4.4     2.5  2021 11 18 19 10 04.75
  56.114  27.538    14.0     2.9      99      99    99.0     360   0.517     4.5     3.3  2021 11 18 19 28 24.76
  56.208  27.511    13.5     2.7      99      99    99.0     360   0.167     3.8     2.4  2021 11 18 20 19 07.87
  56.246  27.632    12.0     3.5      99      99    99.0     360   0.354     2.8     2.3  2021 11 18 20 50 50.79
  56.127  27.515    18.6     3.3      99      99    99.0     360   0.368     5.8     4.1  2021 11 18 21 20 06.48
  56.321  27.502    22.4     2.7      99      99    99.0     360   0.267     3.5     2.5  2021 11 18 21 45 34.47
  56.213  27.554    17.3     3.5      99      99    99.0     360   0.314     2.7     2.1  2021 11 18 23 05 21.12
  56.243  27.542    13.8     2.7      99      99    99.0     360   0.597     9.1     6.0  2021 11 19 01 59 44.36
  56.228  27.500    17.4     2.8      99      99    99.0     360   0.430     3.8     3.0  2021 11 19 02 27 47.96
  56.220  27.608    20.0     2.9      99      99    99.0     360   0.335     4.7     3.9  2021 11 19 03 18 00.54
  56.186  27.603    22.9     2.8      99      99    99.0     360   0.299     7.0     5.6  2021 11 19 03 21 40.60
  56.163  27.599    15.8     3.6      99      99    99.0     360   0.367     3.4     3.3  2021 11 19 10 34 23.85
  56.184  27.627     5.7     2.8      99      99    99.0     360   0.315     4.3     4.6  2021 11 19 13 28 38.09
  56.209  27.587     5.9     2.9      99      99    99.0     360   0.346     4.6     3.7  2021 11 19 16 16 55.53
  56.211  27.579    16.3     4.0      99      99    99.0     360   0.412     2.8     2.1  2021 11 19 18 52 08.72
  56.205  27.617    10.4     2.9      99      99    99.0     360   0.210     2.9     2.5  2021 11 20 00 51 08.59
  56.159  27.536    12.0     3.3      99      99    99.0     360   0.371     3.7     2.6  2021 11 20 04 55 55.03
  56.164  27.633    17.8     2.7      99      99    99.0     360   0.293     3.9     3.0  2021 11 20 18 40 50.35
  56.178  27.622    21.7     3.8      99      99    99.0     360   0.272     3.4     2.8  2021 11 20 18 44 27.51
  56.211  27.542    13.5     3.4      99      99    99.0     360   0.339     3.8     2.6  2021 11 20 19 17 57.52
  56.192  27.526    13.9     3.5      99      99    99.0     360   0.287     3.4     2.6  2021 11 21 05 55 39.07
  56.127  27.622    18.2     2.7      99      99    99.0     360   0.398     3.9     3.2  2021 11 21 11 43 59.03
  56.179  27.631     9.3     2.6      99      99    99.0     360   0.435     7.1     7.5  2021 11 21 15 48 12.90
  56.165  27.512    14.3     2.9      99      99    99.0     360   0.335     3.4     1.9  2021 11 21 19 55 27.76
  55.988  27.506    15.5     3.4      99      99    99.0     360   0.373     3.2     2.4  2021 11 21 22 51 05.78
  55.988  27.396    21.1     2.9      99      99    99.0     360   0.311     6.8     5.8  2021 11 22 00 17 18.14
  56.176  27.592     9.3     2.6      99      99    99.0     360   0.357     3.1     2.9  2021 11 22 01 41 30.71
  56.184  27.536    14.8     2.9      99      99    99.0     360   0.481     2.7     1.7  2021 11 22 02 18 07.01
  56.152  27.590    15.8     3.7      99      99    99.0     360   0.295     4.1     3.9  2021 11 22 03 29 36.04
  56.283  27.659     7.2     2.8      99      99    99.0     360   0.291     3.6     3.1  2021 11 22 20 16 00.44
  56.194  27.630     4.7     3.2      99      99    99.0     360   0.406     4.0     2.5  2021 11 23 02 29 08.00
  56.266  27.515    15.0     3.4      99      99    99.0     360   0.388     5.3     3.4  2021 11 23 08 15 24.83
  56.230  27.521    17.8     2.8      99      99    99.0     360   0.389     3.5     2.4  2021 11 23 16 49 16.96
  56.159  27.596     9.7     2.9      99      99    99.0     360   0.406     3.7     2.9  2021 11 24 00 14 42.40
  56.097  27.549    12.8     3.4      99      99    99.0     360   0.419     4.4     3.7  2021 11 24 02 34 25.94
  56.187  27.592    25.9     2.7      99      99    99.0     360   0.292     4.4     3.4  2021 11 24 16 25 54.46
  56.167  27.611     8.1     2.8      99      99    99.0     360   0.326     4.8     4.2  2021 11 25 06 34 21.58
  56.167  27.501    16.1     2.8      99      99    99.0     360   0.189     3.1     2.1  2021 11 25 10 53 53.03
  56.250  27.557    16.5     3.8      99      99    99.0     360   0.347     2.8     2.4  2021 11 25 11 02 56.74
  56.257  27.488    15.5     3.1      99      99    99.0     360   0.277     7.6     4.8  2021 11 25 21 49 30.83
  56.205  27.596    17.3     3.8      99      99    99.0     360   0.345     3.1     2.4  2021 11 26 05 57 39.36
  56.206  27.548    13.2     3.4      99      99    99.0     360   0.406     3.3     2.6  2021 11 26 21 29 40.11
