   LON    LAT DEPTH MAG NSTUSED NPHASEP NPHASES MIND GAP  RMS SEH  SEZ YYYY MM DD HH MN   SEC
56.214 27.587  25.4 2.4     NaN       5       0  NaN NaN 0.16 9.2 13.8 2021 11 18 21 13 39.08
56.134 27.534  16.7 3.3     NaN     296      24  NaN NaN 0.51 2.0  3.4 2021 11 18 21 20  6.60
56.325 27.499  22.6 2.7     NaN      39       0  NaN NaN 0.26 4.2  6.0 2021 11 18 21 45 34.56
56.207 27.555  18.1 3.5     NaN     578      63  NaN NaN 0.40 1.4  2.4 2021 11 18 23  5 21.16
56.270 27.538  13.5 2.7     NaN     319      26  NaN NaN 0.54 1.9  2.8 2021 11 19  1 59 44.64
56.223 27.497  18.5 2.8     NaN     233      18  NaN NaN 0.46 1.5  2.4 2021 11 19  2 27 48.01
56.217 27.610  20.2 2.9     NaN     199       1  NaN NaN 0.33 1.5  2.9 2021 11 19  3 18  0.52
56.201 27.614  21.8 2.8     NaN     134       2  NaN NaN 0.27 2.1  3.7 2021 11 19  3 21 40.55
56.160 27.611  14.6 3.6     NaN     415      18  NaN NaN 0.34 1.2  2.5 2021 11 19 10 34 23.80
56.171 27.636   3.0 2.8     NaN     123      13  NaN NaN 0.29 2.2  4.2 2021 11 19 13 28 37.76
56.205 27.596   5.2 2.9     NaN     344      17  NaN NaN 0.40 1.4  2.5 2021 11 19 16 16 55.49
56.215 27.582  16.3 4.0     NaN     391      45  NaN NaN 0.49 1.3  2.2 2021 11 19 18 52  8.80
56.203 27.621  10.1 2.9     NaN     215       0  NaN NaN 0.21 1.4  3.1 2021 11 20  0 51  8.61
56.150 27.527  13.4 3.3     NaN     396      46  NaN NaN 0.41 2.1  3.9 2021 11 20  4 55 55.09
56.151 27.586  24.6 2.7     NaN      50       0  NaN NaN 0.31 3.6  5.9 2021 11 20 18 40 50.40
56.172 27.619  22.9 3.8     NaN     165      16  NaN NaN 0.36 1.8  3.2 2021 11 20 18 44 27.56
56.207 27.548  13.1 3.4     NaN     531      22  NaN NaN 0.38 1.1  1.9 2021 11 20 19 17 57.56
56.184 27.530  13.9 3.5     NaN     330      14  NaN NaN 0.42 1.7  3.2 2021 11 21  5 55 39.06
56.120 27.634  17.4 2.7     NaN     213       0  NaN NaN 0.46 1.8  3.2 2021 11 21 11 43 58.96
56.179 27.645   9.6 2.6     NaN     276      23  NaN NaN 0.44 1.8  3.6 2021 11 21 15 48 12.84
56.168 27.524  13.8 2.9     NaN     486      29  NaN NaN 0.30 1.4  2.3 2021 11 21 19 55 27.78
55.984 27.507  15.0 3.4     NaN     113       7  NaN NaN 0.35 2.2  4.0 2021 11 21 22 51  5.74
55.991 27.399  20.9 2.9     NaN      17       1  NaN NaN 0.33 4.7  8.8 2021 11 22  0 17 18.19
